Year,Hectares,Number of Fires,Status
1988-01-01,18210.0,1372.0,Total
1989-01-01,13099.0,1633.0,Total
1990-01-01,13742.0,1750.0,Total
1991-01-01,8081.0,1481.0,Total
1992-01-01,12232.0,2117.0,Total
1993-01-01,15393.0,2545.0,Total
1994-01-01,30828.0,3239.0,Total
1995-01-01,7676.0,1770.0,Total
1996-01-01,14922.0,1645.0,Total
1997-01-01,6317.0,1339.0,Total
1998-01-01,6764.0,1932.0,Total
1999-01-01,5804.0,2075.0,Total
2000-01-01,26353.0,2353.0,Total
2001-01-01,7394.0,2631.0,Total
2002-01-01,8514.0,1471.0,Total
2003-01-01,6644.0,2177.0,Total
2004-01-01,4876.2,1762.0,Total
2005-01-01,2821.0,1530.0,Total
2006-01-01,7761.6,2227.0,Total
2007-01-01,11664.4,2829.0,Total
2008-01-01,29749.0,2135.0,Total
2009-01-01,4679.0,1793.0,Total
2010-01-01,3317.0,1861.0,Total
2011-01-01,3612.0,1954.0,Total
2012-01-01,10454.0,2450.0,Total
2013-01-01,11456.0,3755.0,Total
2014-01-01,3117.0,2149.0,Total
2015-01-01,3219.0,2150.0,Total
2016-01-01,9156.0,3188.0,Total
2017-01-01,11993.0,2411.0,Total
2018-01-01,5644.0,2167.0,Total
2019-01-01,11332.0,2688.0,Total
2020-01-01,20971.0,3399.0,Total
1997-01-01,923.0,193.0,Intentional
1998-01-01,1655.0,249.0,Intentional
1999-01-01,1926.0,279.0,Intentional
2000-01-01,4417.0,410.0,Intentional
2001-01-01,651.0,251.0,Intentional
2002-01-01,509.0,218.0,Intentional
2003-01-01,665.0,258.0,Intentional
2004-01-01,748.4,242.0,Intentional
2005-01-01,401.7,272.0,Intentional
2006-01-01,206.2,166.0,Intentional
2007-01-01,1705.1,292.0,Intentional
2008-01-01,797.0,377.0,Intentional
2009-01-01,792.0,231.0,Intentional
2010-01-01,526.0,146.0,Intentional
2011-01-01,283.0,153.0,Intentional
2012-01-01,1615.0,197.0,Intentional
2013-01-01,1478.48,260.0,Intentional
2014-01-01,85.0,127.0,Intentional
2015-01-01,167.0,138.0,Intentional
2016-01-01,240.0,157.0,Intentional
2017-01-01,619.0,151.0,Intentional
2018-01-01,148.0,92.0,Intentional
2019-01-01,686.0,124.0,Intentional
2020-01-01,718.0,72.0,Intentional
1997-01-01,3389.0,696.0,Negligence Accident
1998-01-01,3713.0,1163.0,Negligence Accident
1999-01-01,2808.0,1151.0,Negligence Accident
2000-01-01,19017.0,1384.0,Negligence Accident
2001-01-01,4247.0,1629.0,Negligence Accident
2002-01-01,7287.0,809.0,Negligence Accident
2003-01-01,4520.0,1317.0,Negligence Accident
2004-01-01,3093.0,1033.0,Negligence Accident
2005-01-01,2084.0,867.0,Negligence Accident
2006-01-01,5873.0,1315.0,Negligence Accident
2007-01-01,7994.0,1642.0,Negligence Accident
2008-01-01,26283.0,1018.0,Negligence Accident
2009-01-01,3082.0,884.0,Negligence Accident
2010-01-01,1851.0,861.0,Negligence Accident
2011-01-01,2368.0,1067.0,Negligence Accident
2012-01-01,5780.0,936.0,Negligence Accident
2013-01-01,4051.0,1419.0,Negligence Accident
2014-01-01,1682.0,801.0,Negligence Accident
2015-01-01,1198.0,794.0,Negligence Accident
2016-01-01,5222.0,990.0,Negligence Accident
2017-01-01,7146.0,721.0,Negligence Accident
2018-01-01,2216.0,693.0,Negligence Accident
2019-01-01,6529.0,883.0,Negligence Accident
2020-01-01,8285.0,1156.0,Negligence Accident
1997-01-01,37.0,78.0,Natural
1998-01-01,20.0,53.0,Natural
1999-01-01,126.0,203.0,Natural
2000-01-01,167.0,132.0,Natural
2001-01-01,735.0,188.0,Natural
2002-01-01,261.0,181.0,Natural
2003-01-01,694.0,120.0,Natural
2004-01-01,232.5,128.0,Natural
2005-01-01,47.5,140.0,Natural
2006-01-01,543.0,330.0,Natural
2007-01-01,243.2,407.0,Natural
2008-01-01,699.0,330.0,Natural
2009-01-01,105.0,333.0,Natural
2010-01-01,69.0,281.0,Natural
2011-01-01,39.0,130.0,Natural
2012-01-01,334.0,373.0,Natural
2013-01-01,138.0,258.0,Natural
2014-01-01,77.0,328.0,Natural
2015-01-01,95.0,257.0,Natural
2016-01-01,170.0,310.0,Natural
2017-01-01,84.0,259.0,Natural
2018-01-01,141.0,413.0,Natural
2019-01-01,373.0,372.0,Natural
2020-01-01,197.0,312.0,Natural
1997-01-01,1968.0,372.0,Unknown
1998-01-01,1376.0,467.0,Unknown
1999-01-01,944.0,442.0,Unknown
2000-01-01,2752.0,427.0,Unknown
2001-01-01,1761.0,563.0,Unknown
2002-01-01,457.0,263.0,Unknown
2003-01-01,765.0,482.0,Unknown
2004-01-01,802.3,359.0,Unknown
2005-01-01,287.8,251.0,Unknown
2006-01-01,1139.4,416.0,Unknown
2007-01-01,1722.1,488.0,Unknown
2008-01-01,1970.0,410.0,Unknown
2009-01-01,700.0,345.0,Unknown
2010-01-01,871.0,573.0,Unknown
2011-01-01,922.0,604.0,Unknown
2012-01-01,2725.0,944.0,Unknown
2013-01-01,5789.0,1818.0,Unknown
2014-01-01,1273.0,893.0,Unknown
2015-01-01,1759.0,961.0,Unknown
2016-01-01,3524.0,1731.0,Unknown
2017-01-01,4144.0,1280.0,Unknown
2018-01-01,3139.0,969.0,Unknown
2019-01-01,3744.0,1309.0,Unknown
2020-01-01,11771.0,1859.0,Unknown
